rules,lift,support,confidence,count
{공병} => {주류},106.478429,0.00126518,0.991911021,5886
"{유제품,채소,햄} => {농산가공}",18.69700729,0.001025299,0.69000434,4770
"{어묵,채소} => {농산가공}",18.63213327,0.001844249,0.687610194,8580
"{농산가공,수입식품,유제품} => {일반가공식품}",18.22809394,0.001215957,0.49088858,5657
"{위생세제,유제품,채소} => {일반가공식품}",18.1736639,0.001283021,0.489422762,5969
"{농산가공,수입식품,채소} => {일반가공식품}",18.10593127,0.001128259,0.487598699,5249
"{수입식품,유제품,채소} => {일반가공식품}",18.09285069,0.001042925,0.487246435,4852
"{농산가공,위생세제,유제품} => {일반가공식품}",18.01411347,0.001514304,0.485126016,7045
"{농산가공,위생세제,채소} => {일반가공식품}",17.98174613,0.001375019,0.484254353,6397
"{유제품,일반가공식품,채소,청과} => {농산가공}",17.87923942,0.001312899,0.659824997,6108
"{어묵,청과} => {농산가공}",17.86390965,0.00122434,0.659259259,5696
"{어묵,일반가공식품} => {농산가공}",17.85737943,0.001240891,0.659018265,5773
"{냉동식품,채소} => {농산가공}",17.77051747,0.001017346,0.655812665,4733
"{농산가공,생선,청과} => {채소}",17.70358005,0.001548696,0.697145622,7205
"{채소,햄} => {농산가공}",17.5846201,0.001850482,0.648952209,8609
"{농산가공,위생세제,청과} => {일반가공식품}",17.55521363,0.001097092,0.472767692,5104
"{농산가공,우육,청과} => {채소}",17.45061958,0.001403821,0.687184343,6531
"{농산가공,생선,일반가공식품} => {채소}",17.38554602,0.001054532,0.684621825,4906
"{어묵,유제품} => {농산가공}",17.37319113,0.00165445,0.641149521,7697
"{생선,일반가공식품,채소} => {농산가공}",17.15102509,0.001054532,0.632950587,4906
"{위생세제,유제품,청과} => {일반가공식품}",17.04902982,0.00120392,0.459135995,5601
"{농산가공,우육,일반가공식품} => {채소}",16.98680463,0.001021,0.66891987,4750
"{음료,일반가공식품,채소} => {농산가공}",16.90536486,0.001097092,0.623884611,5104
"{유제품,일반가공식품,채소} => {농산가공}",16.90335783,0.002508221,0.623810542,11669
"{위생세제,채소,청과} => {일반가공식품}",16.87209421,0.001069148,0.454371061,4974
"{농산가공,음료,채소} => {일반가공식품}",16.86325174,0.001097092,0.45413293,5104
"{위생세제,일반가공식품,채소} => {농산가공}",16.77042719,0.001375019,0.618904799,6397
"{생선,유제품,채소} => {농산가공}",16.76460861,0.001470025,0.618690067,6839
"{위생세제,유제품,채소} => {농산가공}",16.75673447,0.001621133,0.618399475,7542
"{유제품,음료,채소} => {일반가공식품}",16.71381168,0.001070438,0.45010846,4980
"{우육,유제품,채소} => {농산가공}",16.67250215,0.00141156,0.615290921,6567
"{유제품,즉석반찬,채소} => {농산가공}",16.62014948,0.00110139,0.61335887,5124
"{우육,일반가공식품,채소} => {농산가공}",16.57785582,0.001021,0.611798042,4750
"{유제품,음료,채소} => {농산가공}",16.5265873,0.001450465,0.609906001,6748
"{생선,유제품,청과} => {채소}",16.46646655,0.001238097,0.648429585,5760
"{농산가공,유기농채소,청과} => {채소}",16.29215486,0.001441222,0.6415654,6705
"{농산가공,유제품,음료} => {일반가공식품}",16.27974808,0.001294628,0.438418984,6023
"{농산가공,생선,유제품} => {채소}",16.25230743,0.001470025,0.639996257,6839
"{수입식품,유제품,채소} => {농산가공}",16.23149795,0.001282161,0.599015867,5965
"{일반가공식품,채소,청과} => {농산가공}",16.19632445,0.002127979,0.597717805,9900
