rules,lift,support,confidence,count
{파스타류} => {파스타소스},136.6764018,0.001164717,0.448090371,3332
{파우치/즉석음료} => {얼음},96.60453564,0.004404393,0.766749833,12600
{얼음} => {파우치/즉석음료},96.60453564,0.004404393,0.554919405,12600
"{단무지,맛살,햄} => {조미전장김}",92.20960429,0.001014409,0.532574784,2902
"{단무지,햄} => {조미전장김}",82.38405764,0.001345088,0.475825399,3848
"{단무지,맛살} => {조미전장김}",78.61128343,0.001215403,0.454034996,3477
"{맛살,조미전장김,햄} => {단무지}",66.30134537,0.001014409,0.661650707,2902
"{맛살,조미전장김} => {단무지}",61.95165874,0.001215403,0.618243243,3477
"{조미전장김,햄} => {단무지}",61.27324655,0.001345088,0.611473065,3848
"{단무지,조미전장김,햄} => {맛살}",60.0434191,0.001014409,0.754158004,2902
"{절임반찬,햄} => {맛살}",56.32208399,0.001023497,0.707417251,2928
"{조미전장김,햄} => {맛살}",55.48990298,0.001533148,0.696964882,4386
"{단무지,햄} => {맛살}",53.64539343,0.001904725,0.673797453,5449
"{단무지,조미전장김} => {맛살}",52.30050311,0.001215403,0.656905347,3477
"{단무지,맛살,조미전장김} => {햄}",50.98733284,0.001014409,0.834627552,2902
"{맛살,조미전장김} => {햄}",47.64231897,0.001533148,0.779871977,4386
"{맛살,절임반찬} => {햄}",46.60533983,0.001023497,0.762897342,2928
"{맛살,햄} => {단무지}",45.21174838,0.001904725,0.451188209,5449
"{단무지,조미전장김} => {햄}",44.412247,0.001345088,0.726997922,3848
"{단무지,맛살} => {햄}",43.46813658,0.001904725,0.711543484,5449
"{단무지,어묵} => {맛살}",40.20564624,0.001025594,0.504991394,2934
"{어묵,햄} => {맛살}",38.11150388,0.001480016,0.478688525,4234
{절임반찬} => {맛살},35.48990925,0.001341592,0.445760743,3838
"{단무지,어묵} => {햄}",32.47965092,0.001079775,0.531669535,3089
"{맛살,어묵} => {햄}",30.38706927,0.001480016,0.497415414,4234
{절임반찬} => {햄},29.36715342,0.001446808,0.480720093,4139
"{공병/공박스,상추} => {일반소주}",19.33304314,0.001556918,0.872648903,4454
"{공병/공박스,국산돼지삼겹살} => {일반소주}",19.03875474,0.001467432,0.859365404,4198
"{수입맥주,일반소주} => {공병/공박스}",18.83754657,0.003496599,0.914267434,10003
"{공병/공박스,깻잎} => {일반소주}",18.67899509,0.001093408,0.843126685,3128
"{고추,공병/공박스} => {일반소주}",18.34197146,0.00167332,0.827914217,4787
"{공병/공박스,사이다} => {일반소주}",18.2987204,0.001305588,0.825961964,3735
"{공병/공박스,콜라} => {일반소주}",17.90970057,0.001668077,0.808402507,4772
"{국산맥주,일반소주,종량제봉투} => {공병/공박스}",17.81336484,0.001979181,0.864559475,5662
"{공병/공박스,혼합탄산} => {일반소주}",17.74716567,0.001470928,0.801066057,4208
"{공병/공박스,국물봉지라면} => {일반소주}",17.73615143,0.002656269,0.8005689,7599
"{공병/공박스,국산담배} => {일반소주}",17.6254191,0.001795664,0.795570698,5137
"{공병/공박스,소시지} => {일반소주}",17.31222551,0.001253504,0.781433864,3586
"{국산맥주,일반소주} => {공병/공박스}",17.18641752,0.009930159,0.834131016,28408
"{공병/공박스,생수} => {일반소주}",17.15694496,0.001812093,0.774424858,5184
"{공병/공박스,과일음료} => {일반소주}",17.15667639,0.001394375,0.774412735,3989
"{상추,일반소주} => {공병/공박스}",17.15008789,0.001556918,0.832367782,4454
"{공병/공박스,두부류} => {일반소주}",17.0911651,0.003123274,0.771455707,8935
"{사이다,일반소주} => {공병/공박스}",17.01433998,0.001305588,0.82577935,3735
"{일반소주,콜라} => {공병/공박스}",16.99605626,0.001668077,0.824891962,4772
"{막걸리,일반소주} => {공병/공박스}",16.9881438,0.002269661,0.824507937,6493
"{국산돼지삼겹살,일반소주} => {공병/공박스}",16.9832126,0.001467432,0.824268604,4198
"{국산맥주,일반소주,일반스낵} => {공병/공박스}",16.9703762,0.001020351,0.823645598,2919
"{공병/공박스,어묵} => {일반소주}",16.95217879,0.001255252,0.765182186,3591
"{일반소주,종량제봉투} => {공병/공박스}",16.8386698,0.004950748,0.817253318,14163
"{바아이스크림,일반소주} => {공병/공박스}",16.80105625,0.001016156,0.81542777,2907
"{깻잎,일반소주} => {공병/공박스}",16.73137196,0.001093408,0.812045691,3128
"{공병/공박스,콩나물} => {일반소주}",16.71643174,0.001103545,0.754541109,3157
"{고추,일반소주} => {공병/공박스}",16.69734977,0.00167332,0.810394447,4787
"{공병/공박스,막걸리} => {일반소주}",16.63375862,0.002269661,0.750809436,6493
"{공병/공박스,종량제봉투} => {일반소주}",16.59122562,0.004950748,0.748889594,14163
"{감자스낵,일반소주} => {공병/공박스}",16.58205027,0.001465684,0.804798464,4193
"{콘아이스크림,튜브아이스크림} => {바아이스크림}",16.57564549,0.001003223,0.482758621,2870
"{일반소주,콩나물} => {공병/공박스}",16.496769,0.001103545,0.800659396,3157
"{옥수수스낵,일반소주} => {공병/공박스}",16.44827035,0.00102105,0.798305548,2921
{칵테일소주} => {공병/공박스},16.44144149,0.001487007,0.797974114,4254
"{마시는요구르트,일반소주} => {공병/공박스}",16.44127257,0.001014758,0.797965915,2903
"{소시지,일반소주} => {공병/공박스}",16.43734526,0.001253504,0.797775306,3586
"{두부류,일반소주} => {공병/공박스}",16.42692496,0.003123274,0.797269564,8935
"{일반소주,일반스낵} => {공병/공박스}",16.41668261,0.002588804,0.796772458,7406
"{과일음료,일반소주} => {공병/공박스}",16.40177016,0.001394375,0.796048693,3989
{일반소주} => {공병/공박스},16.36092701,0.035842323,0.794066399,102537
{공병/공박스} => {일반소주},16.36092701,0.035842323,0.738494447,102537
"{일반소주,혼합탄산} => {공병/공박스}",16.33104946,0.001470928,0.792616312,4208
{튜브아이스크림} => {바아이스크림},16.30828271,0.00603332,0.474971793,17260
"{국물봉지라면,일반소주} => {공병/공박스}",16.26359538,0.002656269,0.789342474,7599
"{일반소주,쿠키} => {공병/공박스}",16.23785875,0.001050413,0.788093365,3005
"{공병/공박스,국물용기라면} => {일반소주}",16.20405787,0.001083271,0.731413736,3099
"{공병/공박스,국산맥주,종량제봉투} => {일반소주}",16.17308011,0.001979181,0.730015472,5662
"{어묵,일반소주} => {공병/공박스}",16.17243428,0.001255252,0.784918033,3591
"{일반소주,일반우유} => {공병/공박스}",16.16258464,0.002597543,0.784439987,7431
"{일반계란,일반소주} => {공병/공박스}",16.15189652,0.001670174,0.783921247,4778
"{공병/공박스,일반계란} => {일반소주}",16.13626358,0.001670174,0.728353659,4778
"{공병/공박스,마시는요구르트} => {일반소주}",16.10676784,0.001014758,0.727022289,2903
"{생활잡화균일가,일반소주} => {공병/공박스}",16.05705932,0.002102224,0.779318388,6014
"{생수,일반소주} => {공병/공박스}",16.00644756,0.001812093,0.776861981,5184
"{공병/공박스,쿠키} => {일반소주}",16.00338373,0.001050413,0.722355769,3005
"{공병/공박스,바아이스크림} => {일반소주}",15.98087884,0.001016156,0.72133995,2907
"{공병/공박스,일반우유} => {일반소주}",15.98035375,0.002597543,0.721316249,7431
"{국산담배,일반소주} => {공병/공박스}",15.9473614,0.001795664,0.773994275,5137
"{국물용기라면,일반소주} => {공병/공박스}",15.90329499,0.001083271,0.771855542,3099
"{공병/공박스,크래커} => {일반소주}",15.90196092,0.001129063,0.717777778,3230
"{공병/공박스,생활잡화균일가} => {일반소주}",15.87474924,0.002102224,0.716549506,6014
"{일반소주,크래커} => {공병/공박스}",15.86432672,0.001129063,0.769964243,3230
"{공병/공박스,일반스낵} => {일반소주}",15.24442474,0.002588804,0.688098114,7406
"{공병/공박스,옥수수스낵} => {일반소주}",15.00767713,0.00102105,0.677411874,2921
"{감자스낵,공병/공박스} => {일반소주}",14.5418824,0.001465684,0.656386976,4193
"{공병/공박스,국산맥주} => {일반소주}",14.35558453,0.009930159,0.64797792,28408
